"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","81,500","81,900","82,100","81,500","17.26M","-0.24%"
"2021년 04월 29일","81,700","82,400","82,400","81,500","2.84K","-0.49%"
"2021년 04월 28일","82,100","83,100","83,200","82,100","6.80K","-0.97%"
"2021년 04월 27일","82,900","83,300","83,300","82,500","3.86K","-0.72%"
"2021년 04월 26일","83,500","82,900","83,500","82,600","3.37K","0.85%"
"2021년 04월 25일","82,800","82,800","82,800","82,800","-","0.00%"
"2021년 04월 23일","82,800","81,900","82,900","81,600","17.74M","0.49%"
"2021년 04월 22일","82,400","82,800","83,000","82,400","8.15K","-0.24%"
"2021년 04월 21일","82,600","83,400","83,500","82,500","0.44K","-1.55%"
"2021년 04월 20일","83,900","83,300","84,000","83,200","4.40K","0.72%"
"2021년 04월 19일","83,300","83,900","84,000","83,300","11.08K","-0.72%"
"2021년 04월 18일","83,900","83,900","83,900","83,900","-","0.00%"
"2021년 04월 16일","83,900","84,700","84,700","83,600","15.34M","-0.24%"
"2021년 04월 15일","84,100","83,700","84,500","83,400","1.01K","0.12%"
"2021년 04월 14일","84,000","84,100","84,300","83,400","4.37K","0.00%"
"2021년 04월 13일","84,000","83,000","84,500","82,900","1.05K","0.96%"
"2021년 04월 12일","83,200","84,000","84,100","83,100","16.47K","-0.48%"
"2021년 04월 11일","83,600","83,600","83,600","83,600","-","0.00%"
"2021년 04월 09일","83,600","84,700","84,900","83,400","17.79M","-1.30%"
"2021년 04월 08일","84,700","85,700","85,700","84,100","19.17M","-1.05%"
"2021년 04월 07일","85,600","86,100","86,200","85,400","5.60K","-0.47%"
"2021년 04월 06일","86,000","86,100","86,200","85,100","10.26K","0.70%"
"2021년 04월 05일","85,400","85,800","86,000","84,800","0.84K","0.71%"
"2021년 04월 04일","84,800","84,800","84,800","84,800","-","0.00%"
"2021년 04월 02일","84,800","84,000","85,200","83,900","22.89M","2.29%"
"2021년 04월 01일","82,900","82,400","83,000","82,000","0.93K","1.84%"
"2021년 03월 31일","81,400","82,100","82,100","81,400","0.54K","-0.97%"
"2021년 03월 30일","82,200","81,600","82,300","81,300","13.05M","0.74%"
"2021년 03월 29일","81,600","81,700","81,700","81,000","9.87K","0.12%"
"2021년 03월 28일","81,500","81,500","81,500","81,500","-","0.00%"
"2021년 03월 26일","81,500","81,400","81,600","81,000","12.73M","0.37%"
"2021년 03월 25일","81,200","80,900","82,100","80,800","0.45K","0.25%"
"2021년 03월 24일","81,000","81,100","81,600","80,700","14.93K","-0.98%"
"2021년 03월 23일","81,800","82,500","82,800","81,800","5.98K","-0.24%"
"2021년 03월 22일","82,000","82,000","82,300","81,700","12.55M","0.12%"
"2021년 03월 21일","81,900","81,900","81,900","81,900","-","0.00%"
"2021년 03월 19일","81,900","82,100","82,500","81,800","15.69M","-1.21%"
"2021년 03월 18일","82,900","82,800","83,800","82,600","2.15K","0.73%"
"2021년 03월 17일","82,300","82,800","82,800","82,100","32.00K","-0.60%"
"2021년 03월 16일","82,800","82,300","83,000","82,100","3.55K","1.22%"
"2021년 03월 15일","81,800","82,800","82,900","81,800","0.40K","-1.21%"
"2021년 03월 14일","82,800","82,800","82,800","82,800","-","0.00%"
"2021년 03월 12일","82,800","83,100","83,500","82,400","13.41M","0.98%"
"2021년 03월 11일","82,000","81,000","82,500","81,000","0.96K","1.36%"
"2021년 03월 10일","80,900","82,400","82,500","80,700","8.86K","-0.61%"
"2021년 03월 09일","81,400","81,500","81,900","80,600","1.24K","-0.73%"
"2021년 03월 08일","82,000","83,000","83,000","81,600","6.72K","-0.12%"
"2021년 03월 07일","82,100","82,100","82,100","82,100","-","0.00%"
"2021년 03월 05일","82,100","81,100","82,600","81,100","20.35M","-0.36%"
"2021년 03월 04일","82,400","82,700","83,100","82,200","8.75K","-1.90%"
"2021년 03월 03일","84,000","83,400","84,000","82,800","3.80K","0.48%"
"2021년 03월 02일","83,600","85,000","85,300","83,000","7.76K","1.33%"
"2021년 03월 01일","82,500","82,500","82,500","82,500","-","0.00%"
