"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 06월 30일","80,700","81,200","81,400","80,700","0.97K","-0.37%"
"2021년 06월 29일","81,000","81,900","82,100","80,800","1.58K","-1.10%"
"2021년 06월 28일","81,900","81,700","82,000","81,600","56.64K","0.37%"
"2021년 06월 27일","81,600","81,600","81,600","81,600","-","0.00%"
"2021년 06월 25일","81,600","81,500","81,900","81,200","12.97M","0.49%"
"2021년 06월 24일","81,200","80,300","81,400","80,100","2.11K","1.37%"
"2021년 06월 23일","80,100","80,600","80,600","79,900","2.25K","0.13%"
"2021년 06월 22일","80,000","80,200","80,300","79,900","1.38K","0.13%"
"2021년 06월 21일","79,900","79,700","80,000","79,600","15.99M","-0.75%"
"2021년 06월 20일","80,500","80,500","80,500","80,500","-","0.00%"
"2021년 06월 18일","80,500","81,100","81,100","80,500","14.62M","-0.49%"
"2021년 06월 17일","80,900","81,200","81,200","80,700","0.39K","-1.10%"
"2021년 06월 16일","81,800","81,400","81,900","81,100","2.27K","1.11%"
"2021년 06월 15일","80,900","80,900","81,200","80,600","9.84M","0.50%"
"2021년 06월 14일","80,500","80,900","80,900","80,500","1.07K","-0.62%"
"2021년 06월 13일","81,000","81,000","81,000","81,000","-","0.00%"
"2021년 06월 11일","81,000","81,200","81,700","80,700","13.81M","0.00%"
"2021년 06월 10일","81,000","81,400","81,400","80,900","0.32K","-0.12%"
"2021년 06월 09일","81,100","81,600","82,000","81,100","4.87K","-0.98%"
"2021년 06월 08일","81,900","82,300","82,600","81,800","13.46K","0.00%"
"2021년 06월 07일","81,900","82,700","82,800","81,600","3.95K","-0.36%"
"2021년 06월 06일","82,200","82,200","82,200","82,200","-","0.00%"
"2021년 06월 04일","82,200","82,700","82,700","81,500","18.06M","-0.72%"
"2021년 06월 03일","82,800","81,300","83,000","81,100","12.10K","2.48%"
"2021년 06월 02일","80,800","80,400","81,400","80,300","1.27K","0.25%"
"2021년 06월 01일","80,600","80,400","81,200","80,100","4.06K","0.12%"
"2021년 05월 31일","80,500","80,300","80,600","79,600","13.28M","0.50%"
"2021년 05월 30일","80,100","80,100","80,100","80,100","-","0.00%"
"2021년 05월 28일","80,100","79,800","80,400","79,400","12.27M","0.63%"
"2021년 05월 27일","79,600","80,000","80,000","79,100","1.51K","-0.25%"
"2021년 05월 26일","79,800","80,300","80,500","79,700","0.79K","-0.13%"
"2021년 05월 25일","79,900","80,000","80,400","79,800","12.55M","0.25%"
"2021년 05월 24일","79,700","80,100","80,400","79,500","0.88K","-0.50%"
"2021년 05월 23일","80,100","80,100","80,100","80,100","-","0.00%"
"2021년 05월 21일","80,100","80,100","81,500","79,800","20.80M","0.75%"
"2021년 05월 20일","79,500","79,400","79,700","79,100","0.32K","-0.13%"
"2021년 05월 19일","79,600","79,600","79,600","79,600","-","0.00%"
"2021년 05월 18일","79,600","79,600","80,000","79,100","17.27M","0.00%"
"2021년 05월 17일","79,600","80,900","80,900","79,200","6.45K","-0.62%"
"2021년 05월 16일","80,100","80,100","80,100","80,100","-","0.00%"
"2021년 05월 14일","80,100","79,000","80,300","78,900","16.37M","2.04%"
"2021년 05월 13일","78,500","78,900","79,600","78,500","4.26K","-1.88%"
"2021년 05월 12일","80,000","80,900","81,100","79,800","9.71K","-1.48%"
"2021년 05월 11일","81,200","82,500","82,500","81,100","12.16K","-2.40%"
"2021년 05월 10일","83,200","82,300","83,500","81,800","7.02K","1.59%"
"2021년 05월 09일","81,900","81,900","81,900","81,900","-","0.00%"
"2021년 05월 07일","81,900","81,800","82,100","81,500","12.80M","-0.49%"
"2021년 05월 06일","82,300","81,700","82,300","81,700","16.85M","-0.36%"
"2021년 05월 05일","82,600","82,600","82,600","82,600","-","0.00%"
"2021년 05월 04일","82,600","81,900","82,600","81,800","12.29M","1.10%"
"2021년 05월 03일","81,700","81,000","82,400","81,000","15.58M","0.25%"
